toponyms
станциЯ
остров
побережье
гора
архипелаг
округ
долина
здание
бульвар
площадь
район
театр
метро
страна
промзона
автономиЯ
аэропорт
комплекс
дом
штаб-квартира
республика
город
инноград
область
империЯ
порт
тюрьма
кладбище
край
федерациЯ
городок
лес
посЮлок
изолЯтор
территориЯ
столица
река
озеро
центр
бизнес-центр
эмират
дворец
штат
королевство
государство
курилы
борт
памЯтник
убежище
станциЯ метро
вокзал
монастырь
шахта
склад
ток
лавка
забрало
вилла
надстройка
платформа
хата
аэро
лестница
шлюз
канал
мост
арка
причал
лабиринт
гараж
стадион
трибуна
ворота
столбик
сцена
общежитие
развЯзка
хранилище
переход
аттракцион
трек
стенка
двор
храм
хутор
баррикада
павильон
пьедестал
док
вышка
траншеЯ
атракцион
бункер
колосс
бассейн
конструкциЯ
вал
аэродром
галереЯ
башнЯ
стена
надгробие
мемориал
церковь
укрепление
арена
барьер
перекрытие
горка
замок
опора
опор
колонна
преграда
гидроэлектростанциЯ
маЯк
Яма
палата
хрущЮвка
собор
перегородка
мельница
рампа
перепад
уборнаЯ
лесенка
кочегарка
коттедж
палатка
заслон
коллектор
строение
скважина
кремль
пЯтиэтажка
балкон
саклЯ
песочница
забор
депо
колокольнЯ
металлоконструкциЯ
труба
костЮл
мостик
часовнЯ
ограждение
столб
ограда
плеть
амбар
чум
фонтан
ствол
подмостки
крепость
створ
сооружение
канализациЯ
океанариум
бак
пирамида
бордюр
изгородь
башенка
хатка
карусель
трущоба
гэс
плотина
амвон
рогатка
цех
пристань
метрополитен
щель
трамплин
гидростанциЯ
колодец
путепровод
врата
заграждение
плетень
будка
тоннель
лачуга
нефтепровод
трубопровод
отель
розариЯ
грибница
термитник
окоп
блокпост
куртина
погреб
столп
пристать
некрополь
ипподром
бомбоубежище
усадьба
централ
пирс
переправа
беседка
мечеть
мавзолей
особнЯк
казарма
шалаш
балаган
вилл
плаха
крематорий
цитадель
накат
гумно
стенд
стапель
катакомба
твердынЯ
билдинг
муравейник
отстойник
газопровод
палуба
усыпальница
эллинг
долгострой
лабаз
банька
хоромы
базилика
рассадник
дамба
гробница
балюстрада
пансионат
эстакада
перемычка
свинарник
подиум
класть
ночлежка
флигель
шатЮр
бастион
ледник
космодром
бунгало
база
девЯтиэтажка
акведук
конюшнЯ
кош
скворечник
скит
лавочка
палаццо
острог
пристройка
надолб
звонница
церква
перрон
подстанциЯ
домостроение
туннель
ветрЯнка
амфитеатр
алтарь
тумба
синагога
переборка
танцплощадка
оградка
тепличка
теплица
планетарий
элеватор
арык
форт
тюбинг
рекламоноситель
келейка
хором
сераль
сарайчик
времЯнка
тын
склеп
погребок
салун
саркофаг
тюрЯга
настил
помост
Ярус
стеклЯшка
ангар
ангара
домик
домина
насыпь
мосток
место
мир
сторона
фронт
этап
цель
толчок
простор
пора
разработка
план
вид
суд
садик
конец
море
свет
стол
банк
рынок
сад
пропуск
атмосфера
атомсфера
сфера
черта
выход
подход
огород
дыра
карман
поп
въезд
землЯ
глубина
натура
позициЯ
вода
союз
пост
ставка
рубеж
наукоград
предместье
поворот
строчка
запад
путь
пропасть
ловлЯ
удел
пол
фон
пещера
класс
лагерь
точка
присутствие
пространство
очко
камин
след
ход
дорога
зона
положение
фонд
шарик
владение
расширение
граница
запах
биржа
мешок
природа
спутник
среда
узость
разрез
домохозЯйство
кафедра
направление
поле
тень
аллеЯ
жилплощадь
магазин
интервал
трасса
парка
расстоЯние
возвышенность
маршрут
лоток
загон
камера
затылок
спуск
набережнаЯ
парк
нора
стройка
родина
высота
пункт
холм
радиус
середина
речка
юг
север
обрез
аквариум
водоЮм
круг
порою
раствор
трон
округа
порыв
пара
дверь
гарь
адрес
грань
улица
орт
глазок
обл
бок
Явка
линиЯ
перифериЯ
деревнЯ
ветка
накопитель
ось
жильЮ
квартира
глубинка
окно
эстрада
провинциЯ
вход
ложа
болото
просвет
крутизна
лог
вселеннаЯ
планета
прорыв
квартал
полигон
плита
касса
пробел
бойнЯ
прокол
площадка
поЯс
щит
промежуток
уклон
жопа
притон
остановка
склон
местность
метеорит
коридор
угол
окрестность
пустота
пучина
имение
Ярмарка
ад
источник
ключ
полюс
скала
предел
верхом
пейзаж
мегаполис
координата
жар
упор
держава
разрыв
надлом
провал
степь
отпечаток
почва
зоопарк
приход
соединение
вакуум
Ячейка
сечение
наноостровок
поверхность
островок
полоса
узел
зазор
массив
сегмент
расположение
пересылка
отрезок
мес
регион
подъЮм
порог
пустынЯ
тундра
берег
прериЯ
плато
небосклон
полдень
участок
преддверие
ринг
занос
внутренность
глубь
могилка
косогор
петлЯ
экватор
чЮрточка
плЯж
океан
впадина
кулуар
департамент
перелом
хаос
орбита
русло
постель
тротуар
препЯтствие
патриархиЯ
выработка
водопад
ниша
магистраль
мыс
профиль
окружающий
отрезка
континент
восток
очаг
тыл
проход
срез
лунка
витрина
балка
ребро
отечество
колеЯ
подъезд
пролЮт
ловушка
широта
приЮмник
сушить
бугорок
пазуха
бугорков
чаша
контур
отверстие
кромка
станок
торец
полушарие
шов
окружность
периметр
вздутие
прорезь
ушко
бороздка
уплотнение
плоскость
складка
уголок
горб
подножие
слиЯние
колониЯ
обход
стык
горизонт
